stop_id,estación,organismo,línea,ruta,latitud,longitud
200L8-ACULCO9,ACULCO,METRO,8,Garibaldi - Constitución de 1917,19.37292574,-99.10739779
200LA-CANALSAN_5,CANAL DE SAN JUAN,METRO,A,Pantitlán - La Paz,19.39821706,-99.05969739
200L9-CIUDAD_DE3,CIUDAD DEPORTIVA,METRO,9,Pantitlán - Tacubaya,19.40811392,-99.09135818
200L6-NORTE_45_6,NORTE 45,METRO,6,El Rosario - Martín Carrera,19.48823803,-99.16249037
200L2-PANTEONES5,PANTEONES,METRO,2,Cuatro Caminos - Tasqueña,19.458219,-99.20294
200L6-TEZOZÓMOC2,TEZOZÓMOC,METRO,6,El Rosario - Martín Carrera,19.49448847,-99.19593215
200L9-VELÓDROMO0,VELÓDROMO,METRO,9,Pantitlán - Tacubaya,19.40811392,-99.10283804
300L6-416_ORIEN7,416 ORIENTE,MB,6,Villa de AragÃ³n - El Rosario,19.47158458,-99.07087297
300L1-CENTRO_CU9,CENTRO CULTURAL UNIVERSITARIO,MB,1,Indios Verdes - El Caminero,19.314615,-99.187408
300L6-DE_LOS_MI8,DE LOS MISTERIOS,MB,6,Villa de AragÃ³n - El Rosario,19.48725695,-99.11787987
300L1-EL_CHOPO4,EL CHOPO,MB,1,Indios Verdes - El Caminero,19.443102,-99.154594
300L3-HÃ‰ROENACO2,HEROES DE NACOZARI,MB,3,Tenayuca - EtiopÃ­a,19.47071932,-99.1448307
300L3-LA_RAZA_11,LA RAZA,MB,3,Tenayuca - EtiopÃ­a,19.467573,-99.140831
300L1-NÃPOLES7,NAPOLES,MB,1,Indios Verdes - El Caminero,19.389858,-99.173683
300L2-NICOLÃS_B5,NICOLAS BRAVO,MB,2,Tepalcates - Tacubaya,19.393724,-99.051308
300L1-OLIVO6,OLIVO,MB,1,Indios Verdes - El Caminero,19.354715,-99.185272
300L6-PUEBLSAN_6,PUEBLO DE SAN JUAN DE ARAGON,MB,6,Villa de AragÃ³n - El Rosario,19.47040291,-99.08592349
300L3-RICARDO_F2,RICARDO FLORES MAGON,MB,3,Tenayuca - EtiopÃ­a,19.451923,-99.145882
300L5-RÃO_DGUAD2,RIO GUADALUPE,MB,5,RÃ­o de los Remedios - San LÃ¡zaro,19.47561504,-99.09911513
300L5-VICTORIA4,VICTORIA,MB,5,RÃ­o de los Remedios - San LÃ¡zaro,19.46703732,-99.10305262
300L7-HOSPITAL_9,HOSPITAL INFANTIL LA VILLA,MB,7,Indios Verdes - Campo Marte,19.4870799,-99.1138056
300L7-CLAVE5,CLAVE,MB,7,Indios Verdes - Campo Marte,19.4649396,-99.1263637
300L7-GLORIETA_6,GLORIETA VIOLETA,MB,7,Indios Verdes - Campo Marte,19.4415493,-99.1423362
200L2-ALLENDE3,ALLENDE,METRO,2,Cuatro Caminos - Tasqueña,19.43547387,-99.13670897
200L4-BONDOJITO1,BONDOJITO,METRO,4,Santa Anita - Martín Carrera,19.46450842,-99.1117537
200L7-CONSTITUY5,CONSTITUYENTES,METRO,7,El Rosario - Barranca del Muerto,19.41129131,-99.19138312
200LB-DEPORTIVO1,DEPORTIVO OCEANÍA,METRO,B,Ciudad Azteca - Buenavista,19.45077077,-99.07917023
200L4-FRAY_SERV0,FRAY SERVANDO,METRO,4,Santa Anita - Martín Carrera,19.42149092,-99.12033677
200L5-HANGARES5,HANGARES,METRO,5,Politécnico - Pantitlán,19.423251,-99.087095
200L1-JUANACATL1,JUANACATLÁN,METRO,1,Pantitlán - Observatorio,19.41290022,-99.18207049
200L7-REFINERÍA6,REFINERÍA,METRO,7,El Rosario - Barranca del Muerto,19.46911098,-99.18985963
200L4-TALISMÁN_4,TALISMÁN,METRO,4,Santa Anita - Martín Carrera,19.47415847,-99.10779476
200LB-TEPITO1,TEPITO,METRO,B,Ciudad Azteca - Buenavista,19.44256606,-99.12323356
200L5-VALLE_GÓM7,VALLE GÓMEZ,METRO,5,Politécnico - Pantitlán,19.45868169,-99.11988616
60TL1-FRANCISCO0,FRANCISCO GOITIA,TL,TL 1,Tasqueña - Xochimilco,19.26069685,-99.11122662
60TL1-LAS_TORRE4,LAS TORRES,TL,TL 1,Tasqueña - Xochimilco,19.34082411,-99.14346453
60TL1-TEPEPAN0,TEPEPAN,TL,TL 1,Tasqueña - Xochimilco,19.27948536,-99.13316978
60TL1-XOTEPINGO1,XOTEPINGO,TL,TL 1,Tasqueña - Xochimilco,19.32746523,-99.1393333
300L6-ESTACIÃ“N_6,ESTACIÓN 482,MB,6,Villa de AragÃ³n - El Rosario,19.46699685,-99.07555461
300L5-5_DE_MAYO8,5 DE MAYO,MB,5,RÃ­o de los Remedios - San LÃ¡zaro,19.49745178,-99.0898025
300L2-ÃLAMOS9,ALAMOS,MB,2,Tepalcates - Tacubaya,19.394604,-99.142555
300L1-BUENAVIST1,BUENAVISTA,MB,3,Tenayuca - EtiopÃ­a,19.446136,-99.152122
300L1-CAMPECHE_5,CAMPECHE,MB,1,Indios Verdes - El Caminero,19.409693,-99.16732
300L2-CCH_ORIEN6,CCH ORIENTE,MB,2,Tepalcates - Tacubaya,19.382845,-99.060692
300L1-CIUDALOS_2,CIUDAD DE LOS DEPORTES,MB,1,Indios Verdes - El Caminero,19.382601,-99.176041
300L2-DEL_MORAL1,DEL MORAL,MB,2,Tepalcates - Tacubaya,19.384201,-99.070885
300L2-DOCTOR_VÃ‰1,DOCTOR VERTIZ,MB,2,Tepalcates - Tacubaya,19.395544,-99.151352
300L2-ESCANDÃ“N5,ESCANDÓN,MB,2,Tepalcates - Tacubaya,19.4044,-99.173973
300L6-FERROCARR2,FERROCARRILES NACIONALES_1,MB,6,Villa de AragÃ³n - El Rosario,19.50512783,-99.18972015
300L3-PONIENTE_2,PONIENTE 134,MB,3,Tenayuca - EtiopÃ­a,19.492285,-99.15303
300L5-PREPARATO1,PREPARATORIA,MB,5,RÃ­o de los Remedios - San LÃ¡zaro,19.48403047,-99.0955317
300L5-RÃO_SANTA4,SANTA COLETA,MB,5,RÃ­o de los Remedios - San LÃ¡zaro,19.45634487,-99.10741925
300L2-RÃO_TECOL7,RIO TECOLUTLA,MB,2,Tepalcates - Tacubaya,19.388918,-99.083008
300L1-SAN_SIMÃ“N4,SAN SIMON,MB,1,Indios Verdes - El Caminero,19.459663,-99.146515
300L7-NECAXA7,NECAXA,MB,7,Indios Verdes - Campo Marte,19.4764811,-99.1220346
300L7-PARÃS1,PARIS,MB,7,Indios Verdes - Campo Marte,19.4325954,-99.156155
300L7-LA_DIANA1,LA DIANA,MB,7,Indios Verdes - Campo Marte,19.4256293,-99.1709152
300L7-ANTROPOLO4,ANTROPOLOGÍA,MB,7,Indios Verdes - Campo Marte,19.4246175,-99.185662
200LA-AGRÍCOLA_0,AGRÍCOLA ORIENTAL,METRO,A,Pantitlán - La Paz,19.40404596,-99.06982541
200L5-ARAGÓN3,ARAGÓN,METRO,5,Politécnico - Pantitlán,19.45101356,-99.09598231
200L4-CANAL_DEL1,CANAL DEL NORTE,METRO,4,Santa Anita - Martín Carrera,19.44866652,-99.11589503
200L8-CERROLA_E9,CERRO DE LA ESTRELLA,METRO,8,Garibaldi - Constitución de 1917,19.355601,-99.085872
200L5-EDUARDO_M4,EDUARDO MOLINA,METRO,5,Politécnico - Pantitlán,19.45112485,-99.10544515
20L12-EJE_CENTR4,EJE CENTRAL,METRO,12,Tláhuac - Mixcoac,19.36118453,-99.15133238
200L8-LA_VIGA_14,LA VIGA,METRO,8,Garibaldi - Constitución de 1917,19.406106,-99.125973
200L9-LÁZARO_CÁ8,LÁZARO CÁRDENAS,METRO,9,Pantitlán - Tacubaya,19.40702104,-99.14433718
200L5-MISTERIOS9,MISTERIOS,METRO,5,Politécnico - Pantitlán,19.46290002,-99.13051844
200L8-OBRERA7,OBRERA,METRO,8,Garibaldi - Constitución de 1917,19.41301153,-99.14392948
200LB-OLÍMPICA4,OLÍMPICA,METRO,B,Ciudad Azteca - Buenavista,19.52084286,-99.03298259
200LA-PEÑÓN_VIE4,PEÑÓN VIEJO,METRO,A,Pantitlán - La Paz,19.37291562,-99.0172863
200L2-POPOTLA1,POPOTLA,METRO,2,Cuatro Caminos - Tasqueña,19.45261196,-99.17546153
200LB-ROMERO_RU5,ROMERO RUBIO,METRO,B,Ciudad Azteca - Buenavista,19.44048194,-99.09420133
20L12-SAN_ANDRÉ3,SAN ANDRÉS TOMATLÁN,METRO,12,Tláhuac - Mixcoac,19.3272315,-99.10259128
200L7-SAN_ANTON2,SAN ANTONIO,METRO,7,El Rosario - Barranca del Muerto,19.38481791,-99.18661952
20L12-TLALTENCO3,TLALTENCO,METRO,12,Tláhuac - Mixcoac,19.294555,-99.023829
300L6-AMPLIACIÃ“4,AMPLIACIÓN PROVIDENCIA,MB,6,Villa de AragÃ³n - El Rosario,19.48080484,-99.07603633
300L2-ANTONIO_M5,ANTONIO MACEO,MB,2,Tepalcates - Tacubaya,19.404936,-99.18586
300L5-ARCHILA_N1,ARCHIVO GRAL. DE LA NACION,MB,5,RÃ­o de los Remedios - San LÃ¡zaro,19.43763899,-99.11431789
300L1-CIUDAD_UN5,CIUDAD UNIVERSITARIA,MB,1,Indios Verdes - El Caminero,19.322798,-99.188431
300L1-FRANCIA3,FRANCIA,MB,1,Indios Verdes - El Caminero,19.35836,-99.184044
300L6-FRANCISCO5,FRANCISCO MORAZAN,MB,6,Villa de AragÃ³n - El Rosario,19.46745205,-99.06208992
300L3-OBRERO_MU8,OBRERO MUNDIAL,MB,3,Tenayuca - EtiopÃ­a,19.40105058,-99.15563464
300L3-PONIENTE_6,PONIENTE 146,MB,3,Tenayuca - EtiopÃ­a,19.499525,-99.155724
300L5-RÃO_DGUAD1,PASEO  DE GUADALUPE,MB,5,RÃ­o de los Remedios - San LÃ¡zaro,19.47564538,-99.09945846
300L6-SAN_BARTO9,SAN BARTOLO,MB,6,Villa de AragÃ³n - El Rosario,19.49190943,-99.13867235
