latitud,longitud,nombre,linea
19.44725243,-99.14950083,MB07-A (Indios Verdes - Campo Marte),7
19.39291327,-99.11368476,MB02-D (Tepalcates - Colonia del Valle),2
19.47699822,-99.09487488,MB06-B (IPN - Villa de Aragon),6
19.45550173,-99.13630426,MB07-D (Indios Verdes - El Angel),7
19.48567959,-99.15294076,MB03-C (Buenavista - Tenayuca),3
19.48766305,-99.12586349,MB06-A (Villa de Aragon - El Rosario),6
19.4858364,-99.15302775,MB03-C (Tenayuca - Buenavista),3
19.46309173,-99.15277539,MB03-A (Tenayuca - Etiopia),3
19.4302474,-99.13466602,MB04-S (San Lazaro - Buenavista),4
19.46691128,-99.1022866,MB05-A (San Lazaro - Remedios),5
19.42081706,-99.15951829,MB01-C (Indios Verdes - Galvez),1
19.39211465,-99.09802828,MB02-B (Tepalcates - Etiopia),2
19.49682776,-99.15501184,MB03-D (Tenayuca - La Raza),3
19.43022445,-99.09453436,MB04-A (Aeropuerto),4
19.43741872,-99.13493575,MB04-N (San Lazaro - Buenavista),4
,,Eúzkaro,1
,,San Simón,1
,,Manuel González,1
,,Buenavista,1
,,Revolución,1
,,Durango,1
,,Campeche,1
,,Polifórum,1
,,Francia,1
,,Altavista,1
,,La Bombilla,1
,,Fuentes Brotantes,1
,,Centro Cultural Universitario,1
,,Patriotismo,2
,,Nuevo León,2
,,Álamos,2
,,Tlacotal,2
,,Goma,2
,,Río Mayo,2
,,Rojo Gómez,2
,,Del Moral,2
,,Poniente 146,3
,,Montevideo,3
,,Poniente 134,3
,,Coltongo,3
,,Circuito,3
,,Guerrero,3
,,Hidalgo,3
,,Jardín Pushkin,3
,,Etiopía,3
,,Glorieta de Colón,4
,,Expo Reforma,4
,,Juárez,4
,,Isabel la Católica,4
,,Museo de la Ciudad,4
,,Las Cruces Norte,4
,,Mercado de Sonora,4
,,Cecilio Robelo,4
,,Eduardo Molina,4
,,Moctezuma,4
,,Morelos,4
,,Ferrocarril de Cintura,4
,,Mixcalco,4
,,Aeropuerto T1,4
,,San Lázaro,5
,,Canal del Norte,5
,,Río Santa Coleta,5
,,Victoria,5
,,314,5
,,Río de Los Remedios,5
,,Francisco Morazán,6
,,Volcán de Fuego,6
,,Ampliación Providencia,6
,,Deportivo Los Galeana,6
,,Casas Alemán,6
,,Gran Canal,6
,,Instituto Politécnico Nacional,6
,,San Bartolo,6
,,Norte 45,6
,,UAM Azcapotzalco,6
,,De Las Culturas,6
,,De Los Misterios,7
,,Delegación Gustavo A. Madero,7
,,Hospital Infantil La Villa,7
,,Av. Talismán,7
,,Necaxa,7
,,Excélsior,7
,,Clave,7
,,Misterios,7
,,Mercado Beethoven,7
,,Peralvillo,7
,,Tres Culturas,7
,,Glorieta Cuitláhuac,7
,,Glorieta de Colón,7
,,Reforma,7
,,Hamburgo,7
,,El Ángel,7
,,La Diana,7
,,Chapultepec,7
,,Auditorio,7
,,Campo Marte,7
19.46630295,-99.10274313,MB05-A (Remedios - San Lazaro),5
19.39296609,-99.09760285,MB02-B (Etiopia - Tepalcates),2
19.43157872,-99.16574889,MB07-C (Glorieta Cuitlahuac - Campo Marte),7
19.3950449,-99.11407632,MB02-A (Tacubaya - Tepalcates),2
19.39423963,-99.1278054,MB02-C (Colonia del Valle - Del Moral),2
19.4500363,-99.14602683,MB07-A (Campo Marte - Indios Verdes),7
19.38998407,-99.16548422,MB01-B (Caminero - Indios Verdes),1
19.4466025,-99.14969774,MB07-B (Hospital Infantil - Campo Marte),7
19.49837306,-99.16313261,MB06-C (El Rosario - Deportivo 18 Marzo),6
19.35924696,-99.17622536,MB01-D (Buenavista - Caminero),1
19.43031781,-99.13492478,MB04-S (Buenavista - San Lazaro),4
19.44727899,-99.14793993,MB07-B (Campo Marte - Hospital Infantil),7
19.49838293,-99.16293643,MB06-C (Deportivo 18 Marzo - El Rosario),6
19.42145064,-99.15913904,MB01-C (Galvez - Indios Verdes),1
19.46290383,-99.14143848,MB01-A (Insurgentes - Indios Verdes),1
,,Indios Verdes,1
,,La Raza,1
,,El Chopo,1
,,Plaza de la República,1
,,Reforma,1
,,Hamburgo,1
,,Insurgentes,1
,,Sonora,1
,,Nuevo León,1
,,Colonia del Valle,1
,,Félix Cuevas,1
,,José María Velasco,1
,,Olivo,1
,,La Piedad,1
,,Villa Olímpica,1
,,Corregidora,1
,,Ayuntamiento,1
,,La Joya,1
,,Parque Lira,2
,,Escandón,2
,,Xola,2
,,La Viga,2
,,Coyuya,2
,,Iztacalco,2
,,UPIICSA,2
,,El Rodeo,2
,,Río Tecolutla,2
,,Río Frío,2
,,Leyes de Reforma,2
,,CCH Oriente,2
,,General Antonio de León,2
,,Nicolás Bravo,2
