stop_id,stop_name,stop_desc,stop_lat,stop_lon,trip_heads,agency_id,route_long
16436,Calzada Ermita Iztapalapa - La Viga_1,,19.35759115,-99.1220963,Metro Mixcoac -  Metro Santa Martha,RTP,Metro Santa Martha -  Metro Mixcoac
15592,Calzada Ermita Iztapalapa - Metro Cerro De La Estrella,,19.35654855,-99.08636928,Metro Santa Martha -  Metro Mixcoac,RTP,Metro Santa Martha -  Metro Mixcoac
19174,Calzada Guadalupe - Moctezuma,,19.47983292,-99.11879182,Centro Comercial Santa Fe - La Villa/Cantera,RTP,Centro Comercial Santa Fe -  La Villa/Cantera por Palmas (Noche Bus)
18685,Calzada Ignacio Zaragoza - Anillo Periférico Canal de Garay,,19.39847006,-99.05817389,Colonia Miguel de la Madrid-Metro Zaragoza,RTP,Colonia Miguel de la Madrid -  Metro Zaragoza
15402,Calzada Ignacio Zaragoza - Eje 3 Oriente Francisco Del Paso Y Troncoso,Parabus Antes de la Curva,19.4275011,-99.11185026,San Lázaro - Carmen Serdán,RTP,Metro San Lazáro - Carmen Serdàn
18743,Calzada Ignacio Zaragoza - Metro Zaragoza,,19.41174666,-99.08300042,Metro Zaragoza - Colonia Miguel de la Madrid,RTP,Colonia Miguel de la Madrid -  Metro Zaragoza
18772,Calzada Ignacio Zaragoza - Oriente 247,,19.40270007,-99.06738997,Metro Zaragoza - Colonia Miguel de la Madrid,RTP,Colonia Miguel de la Madrid -  Metro Zaragoza
19817,Calzada México - Tacuba - Mariano Escobedo,,19.45630441,-99.18081522,Metro Cuatro Caminos - Colonia Moctezuma 2da. Sección,RTP,Metro Cuatro Caminos -  Colonia Moctezuma 2da. Sección
24440,Calzada México - Xochimilco - Escuela Enfermería UNAM,,19.29208663,-99.15107489,Republica del Salvador - Santiago Tepalcatlalpan,RTP,Santiago Tepalcatlalpan - República del Salvador
19309,Calzada Xochimilco - Tulyehualco - Cocoxochilt,,19.24736245,-99.08684134,Villa Milpa Alta - Metro Tasqueña,RTP,Villa Milpa Alta - Metro Tasqueña
27436,Camino A Desierto De Los Leones - Anillo Periférico,,19.34701299,-99.20310974,Santa Rosa - Metro Mixcoac,RTP,Santa Rosa Xochiac - Metro Mixcoac
27429,Camino A Desierto De Los Leones - Flor De María,,19.34672954,-99.20712233,Santa Rosa - Metro Mixcoac,RTP,Santa Rosa Xochiac - Metro Mixcoac
27238,Camino A Desierto De Los Leones - La Escondida,,19.33072431,-99.2882967,Santa Rosa - Metro Mixcoac,RTP,Santa Rosa Xochiac - Metro Mixcoac
27411,Camino A Desierto De Los Leones - Tizampapano,,19.34272079,-99.22321558,Santa Rosa - Metro Mixcoac,RTP,Santa Rosa Xochiac - Metro Mixcoac
29157,Camino De La Unión  - Camino Parque Central,,19.48577015,-99.07571554,León de los Aldama - Central de Abastos,RTP,San Felipe/León de Los Aldama -  Central de Abastos
23604,Camino Real - Hidalgo,,19.32999538,-99.03286457,Colonia Buenavista - Central de Abastos,RTP,Colonia Buenavista - Central de Abasto
22093,Camino Real - Nuevo León,,19.32821354,-99.03143764,Central de Abasto - Colonia Buenavista,RTP,Colonia Buenavista - Central de Abasto
23606,Camino Real - Pozos,,19.33096729,-99.03428078,Colonia Buenavista - Central de Abastos,RTP,Colonia Buenavista - Central de Abasto
23001,Camino Real a Toluca - Canario,,19.39625381,-99.19265985,Jesús del Monte (Cuajimalpa ) - Metro Tacubaya Nocturno,RTP,Jesús del Monte (Cuajimalpa) - Metro Tacubaya (Noche Bus)
21312,Canal De Desfogue - Flor De Lis,,19.50337825,-99.09062862,León de los Aldama - Metro Chabacano,RTP,León de los Aldama - Metro Chabacano
29611,Canal De Tezontle - Calle 47,,19.38452441,-99.09632564,León de los Aldama - Central de Abastos,RTP,San Felipe/León de Los Aldama -  Central de Abastos
19179,Cantera - Hidalgo_1,,19.48521386,-99.11334157,Centro Comercial Santa Fe -La Villa/Cantera por Reforma,RTP,Centro Comercial Santa Fe - La Villa/Cantera por Reforma
19072,Cantera - Miguel Miramon,,19.48788403,-99.11410332,La Villa/Ferroplaza -  Colonia Forestal,RTP,Colonia Forestal - La Villa Ferroplaza
16995,Carlos A. Vidal - Francisco Villa,,19.29511438,-99.0098083,Santa Catarina -  Metro Universidad,RTP,Santa Catarina - Metro Universidad
30780,Carretera Federal A Cuernavaca - Km. 23 Colegio Peterson,,19.24245987,-99.1679728,Metro Universidad - Topilejo,RTP,Topilejo - Metro Universidad
26221,Carretera San Mateo - Santa Rosa - Valle De Las Monjas_1,,19.34367237,-99.28625822,Metro Zapata - San Mateo Tlaltenango,RTP,Metro Zapata - San Mateo Tlaltenango
24523,Carretera San Pablo - Topilejo - Unidad Habitacional Rinconada San Pablo,,19.25423999,-99.1214633,Republica del Salvador - Santiago Tepalcatlalpan,RTP,Santiago Tepalcatlalpan - República del Salvador
19188,Carretera Xochimilco - San Pablo - Camino Real,,19.20458152,-99.1017437,Xochimilco/Palmas - San Pablo Oztotepec,RTP,San Pablo Oztotepec -  Xochimilco/Palmas
16473,Cecilio Róbelo - M. Rivera Cambas,,19.42230039,-99.108181,Carmen Serdán - San Lázaro,RTP,Metro San Lazáro - Carmen Serdàn
28979,Cedros - Clementino,,19.33806403,-98.97998214,Campestre Potrero - Metro Zaragoza por Metro Tepalcates,RTP,Campestre Potrero - Metro Zaragoza
15589,Central de Abasto - Pescaderías,,19.3722369,-99.0980288,Central de Abastos - León de los Aldama,RTP,San Felipe/León de Los Aldama -  Central de Abastos
18272,Cerro Gordo - India Bonita,,19.5707689,-99.13476706,Lomas de Cuautepec - Metro Indios Verdes,RTP,Lomas de Cuautepec - Metro Indios Verdes
18875,Chalma La Villa - Virginia Fabregas,,19.53088391,-99.1440475,Metro Indios Verdes - El Tepetatal (El Charco),RTP,Colonia El Tepetatal (El Charco)  -  Metro Indios Verdes
26358,Chicago - Las Presas,,19.3837856,-99.21237946,Jalalpa - Metro Tacubaya,RTP,Ampliación Jalalpa - Metro Tacubaya
26504,Chicago - Minas,,19.38094166,-99.20816302,Metro Tacubaya - Piloto,RTP,Piloto - Metro Tacubya
16004,Chiquihuite - Santa Cruz,,19.52100465,-99.12581921,Zacatenco - Metro Potrero,RTP,Zacatenco - Metro Potrero
18592,Cierre de Circuito Ampliación Malacates - Palmas,,19.57624789,-99.13079739,Ampliación Malacates - Metro La Raza (Línea 3),RTP,Ampliación Malacates - Metro la Raza (Linea 3)
15741,Cierre de Circuito Cetram Metro Mixcoac,,19.37576982,-99.18791771,Metro Mixcoac -  Metro Santa Martha,RTP,Metro Santa Martha -  Metro Mixcoac
28287,Cierre de Circuito Santa Rosa Xochiac,,19.33044084,-99.28727746,Santa Rosa - Metro Tacubaya (Cartagena),RTP,Santa Rosa Xochiac - Metro Tacubaya
18495,Circuito Interior - Eje 6 Sur Trabajadores Sociales _1,,19.37181238,-99.10283804,Oceanía Norte Nocturno,RTP,Circuito Bicentenario (Noche Bus)
26384,Conkal y av. 35,,19.27996491,-99.23241019,Metro Chapultepec - Pedregal de San Nicolás,RTP,Metro Chapultepec - Torres de Padierna/Pedregal de San Nicolás
24502,cuauhtemoc y emiliano zapata,,19.35402806,-98.96701097,San Miguel Teotongo/Torres -  Metro Zaragoza/M. Tepalcates,RTP,San Miguel Teotongo/Torres  -  Metro Zaragoza/M. Tepalcates
18540,Cuitláhuac - Ferrocarril Central,,19.4720343,-99.16372418,Panteón San Isidro - Aragón Nocturno,RTP,Aragón - Panteón San Isidro (Noche Bus)
22039,De Las Torres - Pozos,,19.33820576,-99.03204918,Metro Constitución de 1917 - Barranca de Guadalupe,RTP,Barranca de Guadalupe - Metro Constitución de 1917
16628,Eje 1 Oriente Avenida Canal de Miramontes - Cannes,,19.29734213,-99.12537932,Metro Tasqueña - Villa Milpa Alta,RTP,Villa Milpa Alta - Metro Tasqueña
19376,Eje 1 Oriente Avenida Canal de Miramontes - Marcos H. Pulido,,19.33327553,-99.13670897,Villa Milpa Alta - Metro Tasqueña,RTP,Villa Milpa Alta - Metro Tasqueña
21804,Eje 10 Sur - Iglesia,,19.33682896,-99.19903278,Metro Miguel Ángel de Quevedo- Cierre de Circuito Santa Fe,RTP,ECOBÚS Santa Fe - Metro Miguel Ángel de Quevedo
19895,Eje 10 Sur - Narciso Ma. Loreto,,19.30625281,-98.97001505,Metro Universidad - Santa Catarina,RTP,Santa Catarina - Metro Universidad
28569,Eje 2 Poniente Monterrey - Durango,,19.4199934,-99.16473269,Parque México - Metro Rosario por Plan de San Luis,RTP,Metro El Rosario - Parque México por Plan de San Luis
16377,Eje 3 Oriente Francisco Del Paso Y Troncoso - Apatlaco,Parabus en la esquina de la Calle,19.38157927,-99.11073446,San Lázaro - Carmen Serdán,RTP,Metro San Lazáro - Carmen Serdàn
15444,Eje 3 Oriente Francisco Del Paso Y Troncoso - Metro Mixihuca,Saliendo del Metro antes de cruzar la Av. Morelos,19.4088425,-99.11343813,San Lázaro - Carmen Serdan,RTP,Metro San Lázaro - Carmen Serdàn
16373,Eje 3 Oriente Francisco Del Paso Y Troncoso - Santa María Purísima,A 100 metros de las Escalinatas de la Estación del Metro Apatlaco Linea-8,19.37931219,-99.10982251,San Lázaro - Carmen Serdan,RTP,Metro San Lázaro - Carmen Serdàn
15585,Eje 5 Norte Avenida Deportivo Reynosa - Alameda Norte,,19.50145672,-99.17689919,Metro Tacuba -  Metro Martín Carrera  por Ceylán,RTP,Metro Martín Carrera - Metro Tacuba por Ceylán
21892,Eje 5 Norte Avenida San Juan de Aragón - Andador León,,19.473238,-99.08789277,Metro Chapultepec - Aragón,RTP,Aragón - Metro Chapultepec por la Villa
21555,Eje 5 Oriente Avenida Javier Rojo Gómez - Eje 8 Sur Calzada Ermita - Iztapalapa,,19.35689271,-99.08654094,Central de Abasto - Colonia Buenavista,RTP,Colonia Buenavista - Central de Abasto
