stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,trip_heads,agency_id,route_long
18052,,ALFREDO CHAVERO,EJE Central,19.41750898,-99.14350708,Central de Autobuses del Sur - Central de Autobuses del Norte,STE,Corredor Cero Emisiones Eje Central
18066,,MASSENET,EJE Central,19.46411432,-99.13742467,Central de Autobuses del Sur - Central de Autobuses del Norte,STE,Corredor Cero Emisiones Eje Central
17702,,LAGO GARDA,Rosario Chapultepec,19.44910057,-99.18208925,Metro Chapultepec - Metro El Rosario,STE,Metro El Rosario - Metro Chapultepec
18178,,Ma. LUISA STAMPA ORTIGOZA,Circuitio Politecnico,19.50511392,-99.14318246,Terminal Zacatenco,STE,Circuito Politécnico
18136,,DIVISIÓN DEL NORTE_1_2,EJE 7,19.36622526,-99.15590286,Metro Mixcoac - San Andrés Tetepilco,STE,Corredor Cero Emisiones Eje 7 - 7A Sur
18171,,EDIF. 6 ESIQIE,Circuitio Politecnico,19.50087301,-99.1358363,Terminal Zacatenco,STE,Circuito Politécnico
15110,,DR. LUCIO,,19.41582987,-99.15243074,Metro Velódromo - Metro Chapultepec,STE,Corredor Cero Emisiones Eje 2 - 2a sur
17861,,GRAL. VILLADA,San Felipe Metro Hidalgo,19.48229833,-99.11438745,Metro Hidalgo - San Felipe de Jesús,STE,San Felipe de Jesús - Metro Hidalgo
18179,,FTE. ESCOM,Circuitio Politecnico,19.50581652,-99.14553879,Terminal Zacatenco,STE,Circuito Politécnico
17921,,CEYLÁN,Rosario Puerto Aereo,19.47275933,-99.16154251,Metro El Rosario - Metro Blvd. Puerto Aéreo,STE,Metro Blvd. Puerto Aéreo - Metro El Rosario
17705,,CALZ. MÉXICO - TACUBA,Rosario Chapultepec,19.4558593,-99.18065429,Metro Chapultepec - Metro El Rosario,STE,Metro El Rosario - Metro Chapultepec
17767,,CLAVERÍA,Rosario Chapultepec,19.46501982,-99.17758745,Metro El Rosario - Metro Chapultepec,STE,Metro El Rosario - Metro Chapultepec
17990,,AV. JARDÍN,Rosario Puerto Aereo,19.47376844,-99.1586695,Metro Blvd. Puerto Aéreo - Metro El Rosario,STE,Metro Blvd. Puerto Aéreo - Metro El Rosario
17889,,AV. VILLA DE AYALA,San Felipe Metro Hidalgo,19.488432,-99.06875308,San Felipe de Jesús - Metro Hidalgo,STE,San Felipe de Jesús - Metro Hidalgo
17811,,AV. FFCC HIDALGO,San Felipe Metro Hidalgo,19.48225547,-99.10539326,San Felipe de Jesús - Metro Hidalgo,STE,San Felipe de Jesús - Metro Hidalgo
17774,,AV. MARINA NACIONAL_1,Rosario Chapultepec,19.44894815,-99.18236751,Metro El Rosario - Metro Chapultepec,STE,Metro El Rosario - Metro Chapultepec
17919,,PLAN DE SAN LUIS_1_2,Rosario Puerto Aereo,19.47122508,-99.16632056,Metro El Rosario - Metro Blvd. Puerto Aéreo,STE,Metro Blvd. Puerto Aéreo - Metro El Rosario
18074,,PONIENTE 128_1,EJE Central,19.48697147,-99.1442404,Central de Autobuses del Norte - Central de Autobuses del Sur,STE,Corredor Cero Emisiones Eje Central
18081,,FELIPE VILLANUEVA,EJE Central,19.46380449,-99.13763091,Central de Autobuses del Norte - Central de Autobuses del Sur,STE,Corredor Cero Emisiones Eje Central
17703,,FELIPE CARRILLO PUERTO,Rosario Chapultepec,19.45091678,-99.18181108,Metro Chapultepec - Metro El Rosario,STE,Metro El Rosario - Metro Chapultepec
17977,,NORTE 62-A (AV. CONGRESO DE LA UNIÓN),Rosario Puerto Aereo,19.46366745,-99.1115212,Metro Blvd. Puerto Aéreo - Metro El Rosario,STE,Metro Blvd. Puerto Aéreo - Metro El Rosario
17986,,NORTE 7-A (CALZ. VALLEJO),Rosario Puerto Aereo,19.47316719,-99.14507747,Metro Blvd. Puerto Aéreo - Metro El Rosario,STE,Metro Blvd. Puerto Aéreo - Metro El Rosario
17926,,REAL DEL MONTE,Rosario Puerto Aereo,19.46985952,-99.13224578,Metro El Rosario - Metro Blvd. Puerto Aéreo,STE,Metro Blvd. Puerto Aéreo - Metro El Rosario
17841,,TERMINAL METRO HIDALGO,San Felipe Metro Hidalgo,19.43778692,-99.1459108,San Felipe de Jesús - Metro Hidalgo,STE,San Felipe de Jesús - Metro Hidalgo
15091,,TERMINAL TASQUEÑA,,19.34363225,-99.14050817,Tasqueña - Xochimilco,STE,Tasqueña - Xochimilco
18185,,WILFRIDO MASSIEU,Circuitio Politecnico,19.49905973,-99.14806757,Terminal Zacatenco,STE,Circuito Politécnico
18035,,AJUSCO,EJE Central,19.35907295,-99.15173778,Central de Autobuses del Sur - Central de Autobuses del Norte,STE,Corredor Cero Emisiones Eje Central
15137,,5 DE FEBRERO_1_3,,19.41370194,-99.13706332,Metro Chapultepec - Metro Velódromo,STE,Corredor Cero Emisiones Eje 2 - 2a sur
36112,,METRO M. A. DE QUEVEDO,San Francisco,19.34619302,-99.18094397,San Francisco Culhuacán - Ciudad Universitaria,STE,San Francisco Culhuacán - Ciudad Universitaria
17943,,METRO OCEANÍA_1,Rosario Puerto Aereo,19.44488795,-99.08704654,Metro El Rosario - Metro Blvd. Puerto Aéreo,STE,Metro Blvd. Puerto Aéreo - Metro El Rosario
17836,,MOSQUETA (M. GARIBALDI),San Felipe Metro Hidalgo,19.44468739,-99.13877343,San Felipe de Jesús - Metro Hidalgo,STE,San Felipe de Jesús - Metro Hidalgo
17923,,CENTRAL SUR,Rosario Puerto Aereo,19.47299524,-99.15131092,Metro El Rosario - Metro Blvd. Puerto Aéreo,STE,Metro Blvd. Puerto Aéreo - Metro El Rosario
17907,,CENTÉOTL,Rosario Puerto Aereo,19.48845042,-99.19337869,Metro El Rosario - Metro Blvd. Puerto Aéreo,STE,Metro Blvd. Puerto Aéreo - Metro El Rosario
18148,,BÉLGICA,EJE 7,19.36848951,-99.14492141,San Andrés Tetepilco - Metro Mixcoac,STE,Corredor Cero Emisiones Eje 7 - 7A Sur
15097,,JAMAICA_1_2,,19.41076573,-99.12154041,Metro Velódromo - Metro Chapultepec,STE,Corredor Cero Emisiones Eje 2 - 2a sur
18026,,AV. DE LOS ÁNGELES,Rosario Puerto Aereo,19.50186125,-99.19783115,Metro Chapultepec - Metro El Rosario,STE,Metro El Rosario - Metro Chapultepec
17925,,AUER,Rosario Puerto Aereo,19.47213545,-99.14206266,Metro El Rosario - Metro Blvd. Puerto Aéreo,STE,Metro Blvd. Puerto Aéreo - Metro El Rosario
36088,,ESCUELA NAVAL MILITAR,San Francisco,19.33749715,-99.12296975,Ciudad Universitaria - San Francisco Culhuacán,STE,San Francisco Culhuacán - Ciudad Universitaria
