Latitud,Longitud,Nombre,Línea
19.3642515,-99.00597811,Acatitla,Metro A
19.37292574,-99.10739779,Aculco,Metro 8
19.40404596,-99.06982541,Agrícola Oriental,Metro A
19.43547387,-99.13670897,Allende,Metro 2
19.378298,-99.10934,Apatlaco,Metro 8
19.489367,-99.194511,Aquiles Serdán,Metro 7
19.45101356,-99.09598231,Aragón,Metro 5
19.35570839,-99.10157204,Atlalilco,Metro Línea 8 correspondencia con línea 12.
19.35264126,-99.10632491,Atlalilco_1,Metro Línea 12 correspondencia con línea 8.
19.42530549,-99.19173717,Auditorio,Metro 7
19.478595,-99.140471,Autobuses del Norte,Metro 5
19.49067553,-99.18621182,Azcapotzalco_1,Metro 6
19.42288725,-99.10281658,Balbuena,Metro 1
19.42692438,-99.1488111,Balderas_1,Metro Línea 3 correspondencia con línea 1.
19.42729875,-99.14912224,Balderas_1_2,Metro Línea 1 correspondencia con línea 3.
19.3614882,-99.18895841,Barranca del Muerto,Metro 7
19.43649573,-99.14061427,Bellas Artes_1,Metro Línea 8 correspondencia con línea 2.
19.43595951,-99.14155841,Bellas Artes_1_2,Metro Línea 2 correspondencia con línea 8.
19.41958866,-99.09606814,Blvd. Puerto Aéreo,Metro 1
19.46450842,-99.1117537,Bondojito_1,Metro 4
19.45807473,-99.06927824,Bosque de Aragón,Metro B
19.44615757,-99.15289879,Buenavista_1_4,Metro B
19.32025578,-99.08486724,Calle 11,Metro 12
19.47873042,-99.18894768,Camarones,Metro 7
19.39821706,-99.05969739,Canal de San Juan_1_3,Metro A
19.44866652,-99.11589503,Canal del Norte_1,Metro 4
19.42909974,-99.11989689,Candelaria,Metro Línea 1 correspondencia con línea 4.
19.42917056,-99.11890984,Candelaria_1,Metro Línea 4 correspondencia con línea 1.
19.40749665,-99.15531278,Centro Médico_1,Metro Línea 3 correspondencia con línea 9.
19.40636329,-99.15504456,Centro Médico_1_2,Metro Línea 9 correspondencia con línea 3.
19.355601,-99.085872,Cerro de la Estrella,Metro 8
19.408513,-99.135489,Chabacano,Metro Línea 9 correspondencia con línea 2 y línea 8.
19.40853892,-99.13574338,Chabacano_1,Metro Línea 8 correspondencia con línea 2 y línea 9.
19.40891333,-99.13542151,Chabacano_1_2,Metro Línea 2 correspondencia con línea 8 y línea 9.
19.42025648,-99.17658806,Chapultepec,Metro 1
19.40575613,-99.1683054,Chilpancingo_1_2,Metro 9
19.53444312,-99.02711391,Ciudad Azteca,Metro B
19.40811392,-99.09135818,Ciudad Deportiva,Metro 9
